Association rules for K=2:
(67811000119102,)->254632001	1.0	3774.7604444444446	1.0	0.9997350825265027
(254632001,)->67811000119102	0.9999999999999999	3774.760444444444	0.9995555555555555	0.9992907558231575
(235919008,)->65275009	0.8433124538205939	3183.362443778111	1.0	0.9996858667469818
(65275009,)->235919008	0.8433124538205939	3183.362443778111	1.0	0.9996858667469818
(236077008,)->94260004	0.5087697470645604	1920.671867933062	0.4633649932157395	0.4631237417032079
(6072007,)->94260004	0.5087697470645604	1920.671867933062	0.4633649932157395	0.4631237417032079
(94260004,)->6072007	0.5087697470645602	1920.6718679330618	1.0	0.9994793488587532
(94260004,)->236077008	0.5087697470645602	1920.6718679330618	1.0	0.9994793488587532
(236077008,)->6072007	0.5087697470645602	1920.6718679330618	1.0	0.9994793488587532
(6072007,)->236077008	0.5087697470645602	1920.6718679330618	1.0	0.9994793488587532
(431856006,)->90781000119102	0.4628132728893987	1747.2147706233286	1.0	0.9994276605161464
(90781000119102,)->431856006	0.46281327288939866	1747.2147706233284	0.9697593087842008	0.969204277241949
(97331000119101,)->1501000119109	0.28205867352975716	1064.9786179801638	0.38056397110230716	0.38020662686583406
(1501000119109,)->97331000119101	0.28205867352975716	1064.9786179801638	0.5380560131795716	0.5375507861223373

Association rules for K=3:
